dateTime,priceFr,priceBe,genForecast,systemLoad,weekDay
1/1/2015 0:00,53.48,53.48,76905,74812,3
1/1/2015 1:00,51.93,51.93,75492,71469,3
1/1/2015 2:00,48.76,48.76,74394,69642,3
1/1/2015 3:00,42.27,42.27,72639,66704,3
1/1/2015 4:00,38.41,38.41,69347,65051,3
1/1/2015 5:00,35.72,35.72,67960,62855,3
1/1/2015 6:00,32.66,32.66,67564,62470,3
1/1/2015 7:00,32.83,32.83,67277,64086,3
1/1/2015 8:00,30.06,30.06,67019,64541,3
1/1/2015 9:00,29.24,29.24,67846,63585,3
1/1/2015 10:00,37.54,37.54,70274,65564,3
1/1/2015 11:00,41.19,41.19,71975,66642,3
1/1/2015 12:00,44.69,44.69,74395,67618,3
1/1/2015 13:00,39.77,39.77,73458,69286,3
1/1/2015 14:00,33.29,33.29,71382,64608,3
1/1/2015 15:00,32.47,32.47,68812,61660,3
1/1/2015 16:00,34.73,34.73,68954,61270,3
1/1/2015 17:00,40.95,40.95,72468,64215,3
1/1/2015 18:00,51.25,51.25,76228,70227,3
1/1/2015 19:00,52.55,52.55,79480,72834,3
1/1/2015 20:00,49.55,49.55,79199,73233,3
1/1/2015 21:00,46.31,46.31,77448,71265,3
1/1/2015 22:00,48.75,48.75,77909,68772,3
1/1/2015 23:00,47.59,47.59,76777,73055,3
1/2/2015 0:00,38.8,38.8,73652,71247,4
1/2/2015 1:00,36.73,36.73,71874,66693,4
1/2/2015 2:00,33.52,33.52,71196,66725,4
1/2/2015 3:00,27.5,27.5,68045,63084,4
1/2/2015 4:00,22.84,22.84,66880,61337,4
1/2/2015 5:00,26.1,26.1,66922,60231,4
1/2/2015 6:00,27.17,27.17,68235,63232,4
1/2/2015 7:00,33.33,33.33,70871,65498,4
1/2/2015 8:00,42.06,42.06,74625,68186,4
1/2/2015 9:00,46.13,46.13,77325,70152,4
1/2/2015 10:00,44.05,44.05,77816,71495,4
1/2/2015 11:00,45.3,45.3,78185,71135,4
1/2/2015 12:00,48.64,48.64,79458,70865,4
1/2/2015 13:00,44.87,44.87,78259,72639,4
1/2/2015 14:00,41,41,76170,68957,4
1/2/2015 15:00,39.78,39.78,74355,66287,4
1/2/2015 16:00,39.73,39.73,73693,65172,4
1/2/2015 17:00,50.24,50.24,76272,67610,4
1/2/2015 18:00,54.1,54.1,78940,72133,4
1/2/2015 19:00,53.13,53.13,80550,74786,4
1/2/2015 20:00,48.81,48.81,78528,72777,4
1/2/2015 21:00,42.99,42.99,75958,69294,4
1/2/2015 22:00,48.76,48.76,75008,67372,4
1/2/2015 23:00,48.45,48.45,75410,71699,4
1/3/2015 0:00,46.97,46.97,73980,69805,5
1/3/2015 1:00,43.27,43.27,71309,65463,5
1/3/2015 2:00,41.76,41.76,70103,66061,5
1/3/2015 3:00,37.54,37.54,67577,62638,5
1/3/2015 4:00,32.99,32.99,66894,60446,5
1/3/2015 5:00,31.24,31.24,67495,59414,5
1/3/2015 6:00,36.71,36.71,68730,60970,5
1/3/2015 7:00,39.47,39.47,69504,63129,5
1/3/2015 8:00,44.51,44.51,71533,65591,5
1/3/2015 9:00,44.45,44.45,73491,66547,5
1/3/2015 10:00,45.01,45.01,75496,68661,5
1/3/2015 11:00,45.36,45.36,76609,69424,5
1/3/2015 12:00,45.6,45.6,77706,70401,5
1/3/2015 13:00,43.4,44.96,77500,71190,5
1/3/2015 14:00,39.6,42.44,74005,66000,5
1/3/2015 15:00,35.48,39.94,71775,62666,5
1/3/2015 16:00,33.85,42.44,71576,61189,5
1/3/2015 17:00,45.96,53.1,75593,62085,5
1/3/2015 18:00,49.82,49.82,77675,67215,5
1/3/2015 19:00,47.62,47.62,77508,68739,5
1/3/2015 20:00,43.79,43.79,75506,66734,5
1/3/2015 21:00,42.44,42.44,72883,64515,5
1/3/2015 22:00,42.03,42.03,72926,62554,5
1/3/2015 23:00,40.91,40.91,73070,67342,5
1/4/2015 0:00,36.26,36.26,68997,66016,6
1/4/2015 1:00,32.28,32.28,66398,61071,6
1/4/2015 2:00,27.63,27.63,65720,60970,6
1/4/2015 3:00,23.94,27.03,62539,57163,6
1/4/2015 4:00,15.69,27.04,61219,54428,6
1/4/2015 5:00,18.14,27.19,61110,53019,6
1/4/2015 6:00,20.03,27.13,61847,53458,6
1/4/2015 7:00,19.23,27.06,63645,54722,6
1/4/2015 8:00,27.31,27.63,65178,56556,6
1/4/2015 9:00,34.54,34.54,67483,57450,6
1/4/2015 10:00,36.7,36.7,69998,60674,6
1/4/2015 11:00,37.14,37.14,72580,62614,6
1/4/2015 12:00,42.55,42.55,73320,64797,6
1/4/2015 13:00,38.34,38.34,72886,67239,6
1/4/2015 14:00,32.68,37,69971,61667,6
1/4/2015 15:00,25.25,36.87,68075,58875,6
1/4/2015 16:00,30.43,40,68000,57873,6
1/4/2015 17:00,43.04,53.1,72373,59294,6
1/4/2015 18:00,54.35,54.35,76549,65413,6
1/4/2015 19:00,51.57,51.57,79176,70139,6
1/4/2015 20:00,49.99,49.99,77789,70074,6
1/4/2015 21:00,41.18,41.18,75224,68288,6
1/4/2015 22:00,44.79,44.79,74633,65999,6
1/4/2015 23:00,42.96,42.96,76232,69824,6
1/5/2015 0:00,36.56,36.56,70325,67804,0
1/5/2015 1:00,34.94,34.94,67952,62634,0
1/5/2015 2:00,32.19,32.19,67978,63651,0
1/5/2015 3:00,23.53,28.05,65935,60408,0
1/5/2015 4:00,22.92,28.04,65392,58281,0
1/5/2015 5:00,34.26,34.26,66405,60024,0
1/5/2015 6:00,44.28,44.28,72391,63741,0
1/5/2015 7:00,50.38,50.38,78434,71813,0
1/5/2015 8:00,53.79,53.79,80527,77826,0
1/5/2015 9:00,52.03,52.03,81216,78809,0
1/5/2015 10:00,50.6,50.6,82208,79730,0
1/5/2015 11:00,50.5,50.5,82398,79830,0
1/5/2015 12:00,48.45,48.45,82208,80604,0
1/5/2015 13:00,44.54,44.54,81305,80521,0
1/5/2015 14:00,42,42,80346,76491,0
1/5/2015 15:00,43.1,43.1,79679,74308,0
1/5/2015 16:00,46.7,46.7,79516,73139,0
1/5/2015 17:00,56.78,56.78,83024,74156,0
1/5/2015 18:00,58.84,58.84,85228,81005,0
1/5/2015 19:00,53.6,53.6,86750,85195,0
1/5/2015 20:00,46.9,46.9,83202,82556,0
1/5/2015 21:00,44.58,44.58,80126,77392,0
