agency,sku,volume,date,industryVolume,sodaVolume,avgMaxTemp,priceRegular,priceActual,discount,avgPopulation2017,avgYearlyHouseholdIncome2017,easterDay,goodFriday,newYear,christmas,laborDay,independenceDay,revolutionDayMemorial,regionalGames,fifaU17WorldCup,footballGoldCup,beerCapital,musicFest,discountInPercent
Agency_22,SKU_01,52.272,1/1/2013,492612703,718394219,25.8452381,1168.903668,1069.166193,99.737475,48151,132110,0,0,1,0,0,0,0,0,0,0,0,0,8.532565833
Agency_37,SKU_04,0,1/1/2013,492612703,718394219,26.505,1852.273642,1611.466298,240.807344,32769,96761,0,0,1,0,0,0,0,0,0,0,0,0,13.00063546
Agency_59,SKU_03,812.9214,1/1/2013,492612703,718394219,22.21973684,1270.795012,1197.18426,73.610752,1219986,218902,0,0,1,0,0,0,0,0,0,0,0,0,5.792496139
Agency_11,SKU_01,316.44,1/1/2013,492612703,718394219,25.36,1176.155397,1082.757488,93.397909,135561,100461,0,0,1,0,0,0,0,0,0,0,0,0,7.940949745
Agency_05,SKU_05,420.9093,1/1/2013,492612703,718394219,24.07901235,1327.003396,1207.822992,119.180404,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,8.981167973
Agency_28,SKU_06,270.756,1/1/2013,492612703,718394219,29.96875,1098.661373,950.1110388,148.5503342,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,13.52103003
Agency_05,SKU_02,876.528,1/1/2013,492612703,718394219,24.07901235,1131.613798,1044.056705,87.557093,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,7.73736527
Agency_57,SKU_03,782.127,1/1/2013,492612703,718394219,22.21973684,1268.558431,1165.031186,103.527245,2212416,187351,0,0,1,0,0,0,0,0,0,0,0,0,8.161015092
Agency_52,SKU_04,280.5849,1/1/2013,492612703,718394219,30.59489796,1727.640845,1558.61109,169.029755,149811,131764,0,0,1,0,0,0,0,0,0,0,0,0,9.783848043
Agency_11,SKU_02,6.696,1/1/2013,492612703,718394219,25.36,1132.9375,1047.019154,85.918346,135561,100461,0,0,1,0,0,0,0,0,0,0,0,0,7.583679241
Agency_09,SKU_03,4792.7592,1/1/2013,492612703,718394219,30.82888889,1294.57624,1152.025872,142.550368,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,11.01135365
Agency_16,SKU_05,1160.2962,1/1/2013,492612703,718394219,22.21973684,1295.2335,1200.981069,94.252431,1232242,246911,0,0,1,0,0,0,0,0,0,0,0,0,7.276867916
Agency_05,SKU_01,8780.508,1/1/2013,492612703,718394219,24.07901235,1173.269642,1072.512848,100.756794,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,8.587692922
Agency_02,SKU_04,6256.3851,1/1/2013,492612703,718394219,22.14791667,1657.989782,1489.516871,168.472911,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,10.16127559
Agency_16,SKU_02,3.24,1/1/2013,492612703,718394219,22.21973684,1205.375,1121.845833,83.529167,1232242,246911,0,0,1,0,0,0,0,0,0,0,0,0,6.929724526
Agency_56,SKU_04,1683.8928,1/1/2013,492612703,718394219,21.20731707,1733.159962,1582.158415,151.001547,1901290,206553,0,0,1,0,0,0,0,0,0,0,0,0,8.712499152
Agency_12,SKU_03,510.6456,1/1/2013,492612703,718394219,22.21973684,1250.61124,1157.050899,93.560341,1596955,205376,0,0,1,0,0,0,0,0,0,0,0,0,7.481169048
Agency_02,SKU_34,106.6425,1/1/2013,492612703,718394219,22.14791667,1101.905085,1101.905085,0,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_28,SKU_05,1.6614,1/1/2013,492612703,718394219,29.96875,1534.647887,1534.647887,0,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_24,SKU_03,0,1/1/2013,492612703,718394219,25.8452381,0,0,0,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_05,SKU_04,4036.1796,1/1/2013,492612703,718394219,24.07901235,1754.583653,1529.325221,225.258432,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,12.83828398
Agency_35,SKU_04,0,1/1/2013,492612703,718394219,21.3125,0,0,0,14138,93105,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_11,SKU_05,0,1/1/2013,492612703,718394219,25.36,0,0,0,135561,100461,0,0,1,0,0,0,0,0,0,0,0,0,0
